Card Name,count,Avg count in decks,In percentage of decks,Bystial Ishizu Tearlaments,deck count: 90
main,,,,,
Tearlaments Scheiren,270,3.0,100.000%,,
Tearlaments Havnis,270,3.0,100.000%,,
Tearlaments Merrli,267,2.97,100.000%,,
Tearlaments Reinoheart,205,2.28,100.000%,,
Kelbek the Ancient Vanguard,259,2.88,100.000%,,
Keldo the Sacred Protector,268,2.98,100.000%,,
Mudora the Sword Oracle,267,2.97,100.000%,,
Agido the Ancient Sentinel,90,1.0,68.889%,,
Bystial Magnamhut,254,2.82,98.889%,,
Bystial Druiswurm,235,2.61,100.000%,,
Bystial Saronir,118,1.31,92.222%,,
Tearlaments Heartbeat,61,0.678,67.778%,,
Instant Fusion,90,1.0,100.000%,,
Terraforming,87,0.967,96.667%,,
Primeval Planet Perlereino,270,3.0,100.000%,,
Tearlaments Scream,146,1.62,98.889%,,
Tearlaments Sulliek,117,1.3,98.889%,,
Tearlaments Cryme,71,0.789,78.889%,,
Ghost Belle & Haunted Mansion,13,0.144,3.333%,,
Called by the Grave,7,0.0778,7.778%,,
Diviner of the Herald,30,0.333,30.000%,,
Herald of Orange Light,110,1.22,57.778%,,
Triple Tactics Talent,69,0.767,35.556%,,
Super Polymerization,29,0.322,12.222%,,
Infinite Impermanence,42,0.467,16.667%,,
Ash Blossom & Joyous Spring,6,0.0667,2.222%,,
Foolish Burial,4,0.0444,4.444%,,
"Blazing Cartesia, the Virtuous",2,0.0222,2.222%,,
Albion the Shrouded Dragon,2,0.0222,2.222%,,
Branded in High Spirits,6,0.0667,2.222%,,
Pot of Desires,5,0.0556,3.333%,,
Kurikara Divincarnate,2,0.0222,1.111%,,
Harpie's Feather Duster,3,0.0333,3.333%,,
Forbidden Droplet,10,0.111,4.444%,,
Tearlaments Metanoise,2,0.0222,2.222%,,
"Nibiru, the Primal Being",3,0.0333,1.111%,,
Mask Change II,2,0.0222,1.111%,,
High Rate Draw,1,0.0111,1.111%,,
extra,,,,,
Predaplant Dragostapelia,87,0.967,96.667%,,
"Garura, Wings of Resonant Life",88,0.978,97.778%,,
Mudragon of the Swamp,89,0.989,98.889%,,
Tearlaments Kaleido-Heart,90,1.0,100.000%,,
Tearlaments Kitkallos,100,1.11,100.000%,,
Tearlaments Rulkallos,90,1.0,100.000%,,
Divine Arsenal AA-ZEUS - Sky Thunder,83,0.922,92.222%,,
"Beatrice, Lady of the Eternal",76,0.844,84.444%,,
Time Thief Redoer,67,0.744,74.444%,,
Abyss Dweller,90,1.0,100.000%,,
Number 41: Bagooska the Terribly Tired Tapir,88,0.978,90.000%,,
"Dharc the Dark Charmer, Gloomy",90,1.0,100.000%,,
Spright Elf,85,0.944,94.444%,,
Spright Sprind,89,0.989,98.889%,,
Underworld Goddess of the Closed World,4,0.0444,4.444%,,
"Wollow, Founder of the Drudge Dragons",53,0.589,58.889%,,
Baronne de Fleur,36,0.4,40.000%,,
Evilswarm Exciton Knight,4,0.0444,4.444%,,
Gagaga Cowboy,2,0.0222,2.222%,,
Tornado Dragon,1,0.0111,1.111%,,
"Aussa the Earth Charmer, Immovable",11,0.122,12.222%,,
Accesscode Talker,5,0.0556,5.556%,,
Borreload Dragon,5,0.0556,5.556%,,
Topologic Zeroboros,1,0.0111,1.111%,,
Knightmare Phoenix,1,0.0111,1.111%,,
Number 60: Dugares the Timeless,3,0.0333,3.333%,,
I:P Masquerena,6,0.0667,5.556%,,
Mekk-Knight Crusadia Avramax,2,0.0222,2.222%,,
El Shaddoll Construct,1,0.0111,1.111%,,
Masked HERO Dark Law,1,0.0111,1.111%,,
Gigantic Spright,1,0.0111,1.111%,,
Downerd Magician,1,0.0111,1.111%,,
side,,,,,
PSY-Framegear Gamma,81,0.9,30.000%,,
PSY-Frame Driver,27,0.3,30.000%,,
Bystial Magnamhut,3,0.0333,3.333%,,
Ghost Sister & Spooky Dogwood,79,0.878,4.444%,,
Forbidden Droplet,81,0.9,33.333%,,
Twin Twisters,97,1.08,45.556%,,
Harpie's Feather Duster,28,0.311,1.111%,,
Volcanic Scattershot,62,0.689,68.889%,,
Triple Tactics Talent,115,1.28,51.111%,,
Galaxy Cyclone,2,0.0222,2.222%,,
Appointer of the Red Lotus,1,0.0111,1.111%,,
Gagaga Cowboy,9,0.1,10.000%,,
Lightning Storm,82,0.911,35.556%,,
Ghost Reaper & Winter Cherries,17,0.189,6.667%,,
Bystial Saronir,37,0.411,26.667%,,
Necroworld Banshee,59,0.656,50.000%,,
Zombie World,84,0.933,51.111%,,
Set Rotation,9,0.1,10.000%,,
Tearlaments Heartbeat,26,0.289,25.556%,,
Super Polymerization,31,0.344,13.333%,,
Dark Ruler No More,66,0.733,27.778%,,
Skill Drain,18,0.2,7.778%,,
"Blazing Cartesia, the Virtuous",1,0.0111,1.111%,,
Baronne de Fleur,1,0.0111,1.111%,,
Branded in High Spirits,3,0.0333,1.111%,,
Infinite Impermanence,25,0.278,10.000%,,
"Nibiru, the Primal Being",17,0.189,6.667%,,
Herald of Orange Light,18,0.2,8.889%,,
Called by the Grave,25,0.278,27.778%,,
Dark Hole,45,0.5,20.000%,,
Ghost Belle & Haunted Mansion,57,0.633,15.556%,,
Bystial Druiswurm,8,0.0889,7.778%,,
Evenly Matched,13,0.144,5.556%,,
Tearlaments Scream,10,0.111,8.889%,,
Tearlaments Cryme,19,0.211,20.000%,,
Foolish Burial,2,0.0222,2.222%,,
Kurikara Divincarnate,3,0.0333,2.222%,,
Droll & Lock Bird,6,0.0667,1.111%,,
Kashtira Fenrir,8,0.0889,3.333%,,
Majesty's Fiend,2,0.0222,1.111%,,
Cosmic Cyclone,9,0.1,4.444%,,
Effect Veiler,5,0.0556,2.222%,,
Ash Blossom & Joyous Spring,3,0.0333,2.222%,,
Pot of Desires,2,0.0222,1.111%,,
Zombie Warrior,2,0.0222,1.111%,,
Metaverse,2,0.0222,1.111%,,
There Can Be Only One,17,0.189,6.667%,,
Dimensional Barrier,2,0.0222,1.111%,,
Skull-Mark Ladybug,15,0.167,8.889%,,
Dinowrestler Pankratops,2,0.0222,2.222%,,
Mystic Mine,2,0.0222,1.111%,,
The Winged Dragon of Ra - Sphere Mode,2,0.0222,1.111%,,
Raigeki,2,0.0222,1.111%,,
Lava Golem,3,0.0333,1.111%,,
Anti-Spell Fragrance,3,0.0333,1.111%,,
