Card Name,count,Avg count in decks,In percentage of decks,Floowandereeze,deck count: 31
main,,,,,
Floowandereeze & Empen,63,2.03,100.000%,,
Raiza the Mega Monarch,38,1.23,100.000%,,
Floowandereeze & Robina,93,3.0,100.000%,,
Floowandereeze & Eglen,93,3.0,100.000%,,
Floowandereeze & Stri,32,1.03,100.000%,,
Floowandereeze & Toccan,31,1.0,100.000%,,
Barrier Statue of the Stormwinds,35,1.13,100.000%,,
D.D. Crow,11,0.355,25.806%,,
Dimension Shifter,93,3.0,100.000%,,
Book of Moon,14,0.452,22.581%,,
Floowandereeze and the Magnificent Map,93,3.0,100.000%,,
Floowandereeze and the Unexplored Winds,32,1.03,100.000%,,
Floowandereeze and the Advent of Adventure,93,3.0,100.000%,,
Pot of Duality,93,3.0,100.000%,,
Pot of Prosperity,92,2.97,100.000%,,
Pot of Extravagance,19,0.613,38.710%,,
Dimensional Fissure,8,0.258,16.129%,,
Evenly Matched,41,1.32,48.387%,,
Floowandereeze and the Dreaming Town,32,1.03,100.000%,,
Mist Valley Apex Avian,21,0.677,67.742%,,
Terraforming,24,0.774,77.419%,,
Enemy Controller,12,0.387,16.129%,,
Dark Ruler No More,66,2.13,74.194%,,
Infinite Impermanence,20,0.645,22.581%,,
Harpie's Feather Duster,19,0.613,58.065%,,
Triple Tactics Talent,1,0.0323,3.226%,,
Harpie's Feather Storm,22,0.71,25.806%,,
Gold Sarcophagus,2,0.0645,6.452%,,
Called by the Grave,8,0.258,25.806%,,
Effect Veiler,3,0.0968,3.226%,,
Mystic Mine,24,0.774,41.935%,,
Lightning Storm,10,0.323,12.903%,,
Necrovalley,2,0.0645,6.452%,,
Set Rotation,3,0.0968,9.677%,,
Metaverse,2,0.0645,6.452%,,
Jack-In-The-Hand,2,0.0645,3.226%,,
Ash Blossom & Joyous Spring,4,0.129,6.452%,,
extra,,,,,
Divine Arsenal AA-ZEUS - Sky Thunder,40,1.29,100.000%,,
Downerd Magician,32,1.03,100.000%,,
Lyrilusc - Assembled Nightingale,34,1.1,100.000%,,
Lyrilusc - Recital Starling,9,0.29,25.806%,,
Relinquished Anima,28,0.903,90.323%,,
Tri-Brigade Ferrijit the Barren Blossom,19,0.613,54.839%,,
"Dharc the Dark Charmer, Gloomy",13,0.419,41.935%,,
"Eria the Water Charmer, Gentle",3,0.0968,9.677%,,
"Wynn the Wind Charmer, Verdant",12,0.387,38.710%,,
Knightmare Phoenix,25,0.806,77.419%,,
Knightmare Unicorn,13,0.419,22.581%,,
Tri-Brigade Shuraig the Ominous Omen,14,0.452,41.935%,,
Underworld Goddess of the Closed World,24,0.774,77.419%,,
"Garura, Wings of Resonant Life",17,0.548,48.387%,,
Elder Entity N'tss,29,0.935,64.516%,,
Mereologic Aggregator,11,0.355,35.484%,,
PSY-Framelord Omega,10,0.323,32.258%,,
Codebreaker Virus Swordsman,7,0.226,22.581%,,
Lyrilusc - Promenade Thrush,7,0.226,22.581%,,
Evil★Twin's Trouble Sunny,16,0.516,48.387%,,
Invoked Mechaba,2,0.0645,6.452%,,
Gigantic Spright,8,0.258,25.806%,,
Spright Elf,7,0.226,22.581%,,
"Selene, Queen of the Master Magicians",5,0.161,12.903%,,
Accesscode Talker,8,0.258,25.806%,,
Wind Pegasus @Ignister,8,0.258,25.806%,,
Superdreadnought Rail Cannon Gustav Max,9,0.29,29.032%,,
Superdreadnought Rail Cannon Juggernaut Liebe,9,0.29,29.032%,,
Paleozoic Cambroraster,1,0.0323,3.226%,,
Toadally Awesome,4,0.129,12.903%,,
Fossil Warrior Skull Knight,1,0.0323,3.226%,,
Linkuriboh,3,0.0968,9.677%,,
Black Luster Soldier - Soldier of Chaos,2,0.0645,6.452%,,
I:P Masquerena,2,0.0645,6.452%,,
Harpie Conductor,6,0.194,16.129%,,
Trackblack,1,0.0323,3.226%,,
Brute Enforcer,1,0.0323,3.226%,,
Knightmare Cerberus,3,0.0968,9.677%,,
Slacker Magician,1,0.0323,3.226%,,
Kikinagashi Fucho,1,0.0323,3.226%,,
Tearlaments Kitkallos,4,0.129,12.903%,,
Number 41: Bagooska the Terribly Tired Tapir,1,0.0323,3.226%,,
Exosisters Magnifica,1,0.0323,3.226%,,
Worldsea Dragon Zealantis,1,0.0323,3.226%,,
Virtual World Kyubi - Shenshen,1,0.0323,3.226%,,
Crystal Wing Synchro Dragon,1,0.0323,3.226%,,
Cyber Dragon Nova,1,0.0323,3.226%,,
Fossil Machine Skull Wagon,1,0.0323,3.226%,,
Exosister Mikailis,3,0.0968,9.677%,,
Primathmech Alembertian,3,0.0968,9.677%,,
Sunavalon Dryas,3,0.0968,9.677%,,
side,,,,,
Mist Valley Apex Avian,8,0.258,25.806%,,
Dark Ruler No More,8,0.258,12.903%,,
Lightning Storm,21,0.677,35.484%,,
Cosmic Cyclone,71,2.29,83.871%,,
Called by the Grave,4,0.129,12.903%,,
Harpie's Feather Duster,11,0.355,35.484%,,
Appointer of the Red Lotus,6,0.194,19.355%,,
Harpie's Feather Storm,69,2.23,80.645%,,
Ultimate Slayer,53,1.71,58.065%,,
Twin Twisters,5,0.161,6.452%,,
Trap Trick,17,0.548,29.032%,,
Evenly Matched,32,1.03,38.710%,,
Ghost Sister & Spooky Dogwood,14,0.452,9.677%,,
Evil★Twins Ki-sikil & Lil-la,13,0.419,41.935%,,
Mystical Space Typhoon,3,0.0968,3.226%,,
Solemn Judgment,27,0.871,32.258%,,
Murmur of the Forest,2,0.0645,3.226%,,
Barrier Statue of the Stormwinds,2,0.0645,6.452%,,
Neo-Spacian Air Hummingbird,1,0.0323,3.226%,,
Floowandereeze and the Unexplored Winds,6,0.194,16.129%,,
Raigeki,1,0.0323,3.226%,,
Necrovalley,8,0.258,16.129%,,
Set Rotation,6,0.194,19.355%,,
Dimensional Fissure,10,0.323,29.032%,,
Metaverse,2,0.0645,6.452%,,
"Nibiru, the Primal Being",10,0.323,12.903%,,
Terraforming,1,0.0323,3.226%,,
Dimensional Barrier,3,0.0968,3.226%,,
Anti-Spell Fragrance,6,0.194,6.452%,,
D.D. Crow,5,0.161,12.903%,,
Triple Tactics Talent,4,0.129,6.452%,,
Ash Blossom & Joyous Spring,2,0.0645,3.226%,,
Dark Hole,2,0.0645,3.226%,,
Change of Heart,1,0.0323,3.226%,,
Macro Cosmos,1,0.0323,3.226%,,
Floowandereeze and the Scary Sea,1,0.0323,3.226%,,
Ghost Reaper & Winter Cherries,12,0.387,9.677%,,
Neko Mane King,3,0.0968,3.226%,,
Ghost Ogre & Snow Rabbit,3,0.0968,3.226%,,
Infinite Impermanence,3,0.0968,3.226%,,
Rivalry of Warlords,4,0.129,6.452%,,
Droll & Lock Bird,4,0.129,6.452%,,
